Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
NT409,CHELSFIELD PARK HOSPITAL,,,,,,"1,765","1,765",710,"1,055",0,0,"1,765",0,0,127,72,1.8,2,59,0,0,0,0,0,0,0,*,10,45,60,85,80,110,95,155,155,240,205,190,165,110,45,15,"1,340",758,"1,765",10,0
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,,,,,,"110,255","93,235","49,100","61,150",*,"48,435","30,775","3,210","10,815",93,31,3.1,1,58,"4,925","1,435",860,700,210,250,275,415,435,"2,660","4,155","4,840","4,200","3,665","3,810","5,720","7,170","7,925","8,220","9,475","12,115","9,810","6,870","4,040","30,345","198,631","110,255",495,"4,840"
NT410,CHILTERN HOSPITAL,,,,,,"1,160","1,160",550,605,0,0,"1,160",0,0,108,86,2,2,64,0,0,0,0,0,0,0,*,*,20,20,40,35,35,40,55,90,160,180,180,180,95,30,*,300,"1,731","1,160",40,0
F9Z4V,CIRCLE READING HOSPITAL,,,,,,"2,980","2,980","1,255","1,725",*,0,"2,980",0,0,159,113,1.9,2,60,0,0,0,0,0,0,0,*,*,55,90,120,155,180,200,205,300,340,345,345,370,180,80,10,"1,910","2,079","2,980",40,0
NY6G6,CITY OF COVENTRY HEALTH CENTRE -CONNECT HEALTH PAIN SERVICES LIMITED,,,,,,40,40,15,25,0,0,40,0,0,218,181,,,56,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,0,10,*,*,*,*,0,0,40,0,40,0,0
B3M1X,CLAREMONT PRIVATE HOSPITAL,,,,,,"3,135","3,135","1,510","1,625",0,*,"3,135",0,0,81,58,1.2,1,58,0,0,0,0,0,0,0,*,10,55,100,145,155,215,220,270,365,400,350,345,305,130,45,10,"2,140","1,177",*,0,0
NT411,CLEMENTINE CHURCHILL HOSPITAL,,,,,,"3,365","3,365","1,565","1,795",0,0,"3,365",0,0,111,56,1.6,2,54,0,0,0,0,0,0,0,*,10,110,200,195,250,305,295,285,290,360,355,290,230,110,60,15,"2,715","1,065","3,365",40,0
NVC28,CLIFTON PARK HOSPITAL,,,,,,"2,235","2,235","1,055","1,185",0,0,"2,235",0,0,158,105,1.7,1,63,0,0,0,0,0,0,0,0,*,25,30,45,65,80,105,165,250,320,310,295,310,160,60,10,"1,175","1,756","2,235",0,0
NVC29,COBALT HOSPITAL,,,,,,"4,865","4,865","2,220","2,645",0,0,"4,865",0,0,107,65,1.4,1,52,0,0,0,0,0,0,0,10,30,205,300,370,430,440,400,440,505,475,460,365,255,115,55,*,"4,845",30,"4,865",0,0
NVM01,COBHAM DAY SURGERY HOSPITAL,,,,,,"3,225","3,225","1,195","2,030",0,0,"3,135",90,0,55,29,,,62,0,0,0,0,0,0,0,*,20,85,100,105,150,205,245,225,210,210,250,335,480,320,180,80,"3,225",0,"3,225",0,0
NY6,CONNECT HEALTH PAIN SERVICES,,,,,,"1,810","1,810",615,"1,190",0,0,"1,810",0,0,231,179,,,61,0,0,0,0,0,0,0,0,0,*,20,50,95,115,120,225,230,225,175,170,190,125,55,10,"1,810",0,"1,810",0,0
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,,,,,,"5,755","4,955","2,540","3,215",0,"1,170","1,240","1,085","1,465",1,1,29.6,16,75,0,0,0,*,15,10,30,*,15,60,90,95,95,125,115,105,130,180,270,465,815,940,"1,195",965,*,"138,808","5,755",25,*
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,,,,,,"108,270","84,790","48,560","59,700",*,"33,870","38,700","1,770","10,450",50,28,4.3,1,57,"3,840","2,045","1,375","1,285",285,270,285,355,480,"2,805","4,065","5,640","4,610","3,690","3,460","4,545","5,955","7,175","7,415","8,320","11,275","9,995","7,725","5,160","37,615","210,722","108,270",440,"6,135"
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,,,,,,"195,945","130,075","88,405","107,515",25,"55,825","37,770","24,175","12,305",91,40,4.8,2,59,"6,600","3,215","2,235","1,885",455,470,620,770,980,"5,045","6,585","7,870","7,465","6,765","6,725","9,430","12,135","14,820","16,280","18,625","23,270","19,845","14,760","8,775","57,490","361,310","195,945",*,"3,615"
RJ6,CROYDON HEALTH SERVICES NHS TRUST,,,,,,"76,205","61,870","34,345","41,850",10,"19,880","33,565","1,160","7,265",64,30,6.6,3,54,"4,345",975,935,765,195,225,245,340,340,"1,980","3,415","4,330","4,225","3,640","3,760","4,400","5,320","6,225","5,755","5,405","6,115","5,340","4,325","3,020","31,560","200,789","76,205",610,815
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",,,,,,140,115,90,50,0,0,*,115,0,,,127.6,127,49,0,0,0,0,0,0,0,*,*,*,10,10,10,20,20,20,10,25,10,*,*,0,0,0,0,"13,976",140,0,0
RN7-X,DARTFORD AND GRAVESHAM NHS TRUST,,,,,,"108,175","98,210","46,990","61,165",20,"42,310","28,495","17,055","10,355",63,28,3.8,1,51,"9,060","2,390","1,525","1,270",225,220,325,395,430,"2,735","4,660","6,955","6,230","5,500","5,170","5,730","6,915","7,445","7,660","7,930","9,345","6,815","5,560","3,155","38,750","224,538","108,175","2,345","1,225"
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,,,,,,"2,650","2,645","1,100","1,545",0,110,"1,140",*,"1,390",102,90,20.4,16,72,0,0,0,0,0,0,0,0,*,*,35,65,70,60,60,85,105,100,125,185,270,340,335,290,865,"36,421",*,*,*
NR505,DERRIFORD HOSPITAL CLINIC,,,,,,485,485,245,240,0,0,485,0,0,24,14,0,0,7,0,90,310,80,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,485,*,0
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"159,480","127,890","73,310","86,165",*,"62,255","42,760","13,415","9,455",81,35,3.7,1,55,"8,850","3,140","2,240","1,555",340,465,570,725,775,"4,555","6,690","8,100","7,505","6,800","6,555","8,260","10,200","11,770","11,945","13,110","16,015","12,790","9,675","6,150","47,880","296,497","159,480","2,595","1,260"
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,,,,,,"74,770","63,340","35,060","39,705",*,"27,895","25,415","6,275","3,750",77,28,3.9,1,60,"2,435","1,350",915,830,185,220,215,255,240,"1,500","2,140","2,775","2,545","2,360","2,410","3,440","4,775","5,715","6,370","7,580","9,440","7,705","5,615","3,630","29,840","133,044","74,770",415,565
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,,,,,,"2,460","2,130","1,100","1,360",0,445,565,305,815,,,53.3,32,71,0,0,0,*,*,*,10,*,15,55,95,70,85,75,55,60,85,100,110,170,290,400,390,375,*,"107,116",*,*,*
NT412,DROITWICH SPA HOSPITAL,,,,,,"2,765","2,765","1,330","1,435",0,0,"2,765",0,0,141,85,1.6,1,58,0,0,0,0,0,0,0,*,*,55,85,145,140,170,160,220,310,350,335,295,315,130,45,10,"1,950","1,266","2,765",45,0
NT447,DUCHY HOSPITAL,,,,,,"1,030","1,030",545,485,*,0,"1,030",0,0,124,75,1.2,1,60,0,0,0,0,0,0,0,*,*,25,30,40,40,55,65,80,95,125,140,110,135,60,20,*,635,459,"1,030",20,0
NVC04,DUCHY HOSPITAL,,,,,,"2,965","2,965","1,480","1,485",0,0,"2,965",0,0,239,98,2.1,2,62,0,0,0,0,0,0,0,*,10,40,70,100,130,110,150,225,260,360,350,410,395,225,100,20,"2,130","1,723","2,965",0,0
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,,,,,,"178,550","149,305","81,270","97,280",*,"41,120","61,115","37,875","9,195",75,36,3.9,1,58,"7,040","3,095","2,770","2,260",610,505,425,455,495,"3,160","4,750","7,130","7,140","7,295","7,760","9,515","13,015","15,825","15,800","16,670","19,060","15,010","11,095","7,320","92,115","225,061","178,550","1,150","1,565"
RJN,EAST CHESHIRE NHS TRUST,,,,,,"35,035","28,260","15,665","19,370",0,"12,635","11,750","1,110","2,765",57,28,6,2,58,"2,205","1,165",645,500,120,75,105,95,70,555,870,"1,255","1,215","1,040",945,"1,465","2,020","2,290","2,360","2,955","3,955","3,810","3,115","2,065","11,485","101,598","35,035",215,385
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,,,,,,"187,520","145,380","90,070","95,855","1,595","51,850","66,175","13,750","13,600",98,38,5.5,2,59,"8,580","2,650","2,565","1,835",540,435,485,640,590,"4,030","5,920","7,275","6,625","5,960","6,505","9,190","11,870","14,285","15,800","18,025","23,470","17,890","12,845","7,335","70,160","411,495","187,520","1,530","1,545"
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,,,,,,"151,995","115,970","69,860","82,125",10,"38,360","60,570","3,020","14,015",62,22,6.5,2,55,"7,755","2,330","2,295","2,195",530,490,595,565,640,"4,100","5,910","7,085","6,480","6,125","5,745","8,095","10,405","11,605","12,590","13,815","15,535","12,005","8,540","4,755","56,590","391,772","151,995",945,"2,090"
RWK,EAST LONDON NHS FOUNDATION TRUST,,,,,,"7,355","4,835","4,335","3,015",*,"3,195",560,860,215,23,1,73.9,31,40,0,0,*,40,45,45,60,100,135,825,985,920,890,695,555,505,415,315,235,185,135,85,50,10,*,"321,394","7,355",15,0
RDE-X,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,,,,,,"286,760","234,190","132,405","154,340",15,"102,875","66,500","48,620","16,195",90,38,3.9,1,57,"13,805","4,805","3,975","3,020",745,930,910,"1,150","1,200","6,985","9,965","11,830","10,785","10,250","10,565","14,315","17,560","21,570","23,635","26,830","33,760","26,580","18,970","11,845","103,065","515,351","286,760","1,915","2,355"
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,,,,,,"141,610","117,615","63,125","78,475",*,"47,175","39,810","24,670","5,960",64,29,5.2,1,61,"4,025","1,650","1,320","1,160",250,300,370,465,495,"2,660","3,995","4,870","5,230","4,685","4,615","6,760","9,185","11,175","12,505","14,275","18,550","14,540","10,895","7,345","58,860","306,905","141,610",635,"1,090"
NAX03,ECCH BECCLES HOSPITAL,,,,,,245,240,110,135,0,15,230,0,0,60,60,22.5,19,76,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,15,15,25,20,45,50,25,35,0,"5,397",245,*,0
NT445,EDGBASTON HOSPITAL,,,,,,20,20,*,10,0,0,20,0,0,63,74,,,44,0,0,0,0,0,0,0,*,0,0,*,*,*,*,*,*,*,*,0,0,*,*,0,0,20,0,20,0,0
RVR-X,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,,,,,,"102,180","79,775","46,260","55,910",10,"24,380","41,140","5,495","8,755",70,39,6,2,58,"4,750","1,530","1,510","1,290",355,345,345,285,285,"2,025","3,190","4,520","4,510","4,185","4,130","5,040","6,410","7,460","7,605","8,655","10,595","9,340","7,705","5,360","39,310","245,765","102,180",900,"1,135"
NVM03,EPSOM DAY SURGERY (EPSOM SQUARE CLINICS),,,,,,35,35,15,20,0,0,35,0,0,37,23,,,55,0,0,0,0,0,0,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,0,0,*,35,0,35,0,0
NVM02,EPSOM DAY SURGERY LIMITED,,,,,,"2,390","2,390","1,195","1,195",0,0,"2,280",110,0,52,28,,,64,0,0,0,0,0,0,0,*,*,45,50,80,110,130,115,155,175,200,205,275,345,245,155,85,"2,390",0,"2,390",0,0
NVC05,EUXTON HALL HOSPITAL,,,,,,"3,875","3,875","1,560","2,310",0,0,"3,875",0,0,213,73,1.5,1,59,0,0,0,0,0,0,0,*,*,65,70,155,175,235,290,385,480,520,460,380,405,175,55,15,"3,030","1,252","3,875",0,0
NVC0Y,EXETER MEDICAL,,,,,,"1,140","1,140",830,310,0,0,"1,140",0,0,72,51,1,1,50,0,0,0,0,0,0,0,0,0,10,45,150,215,155,85,70,70,70,55,75,65,40,25,*,"1,140",2,"1,140",0,0
NVG01,FAIRFIELD HOSPITAL,,,,,,"3,305","3,305","1,805","1,500",0,0,"3,305",0,0,251,114,2.3,2,58,0,0,0,0,0,0,0,*,10,50,90,185,220,210,185,290,375,450,370,335,315,135,65,*,"2,550","1,747","3,305",0,0
NVC06,FITZWILLIAM HOSPITAL,,,,,,"7,355","7,355","3,100","4,255",0,0,"7,355",0,0,205,151,1.8,1,59,0,0,0,0,0,0,0,*,20,145,185,285,395,450,455,655,785,875,810,830,790,435,195,30,"5,195","3,912","7,355",0,0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,,,,,,"223,810","165,665","101,080","122,520",205,"52,445","75,545","12,945","24,725",70,33,6.1,2,57,"12,540","2,815","2,600","2,195",550,510,740,835,775,"5,075","8,430","11,825","10,790","8,955","8,590","11,000","13,290","15,320","16,300","18,230","22,605","19,865","17,180","11,565","76,305","553,153","223,810","3,030","6,410"
NVC07,FULWOOD HALL HOSPITAL,,,,,,"9,855","9,855","4,145","5,710",0,0,"9,855",0,0,232,66,1.6,1,61,0,0,0,0,0,0,0,10,10,140,200,305,395,550,545,890,"1,140","1,190","1,130","1,165","1,165",655,275,75,"8,415","2,289","9,855",0,0
RR7-X,GATESHEAD HEALTH NHS FOUNDATION TRUST,,,,,,"84,285","63,235","34,520","49,710",55,"20,950","21,415","16,560","4,315",67,28,5.9,2,62,"2,235",590,350,350,100,75,95,175,215,"1,225","2,125","2,960","2,990","3,410","3,555","5,115","6,065","7,700","8,470","8,630","9,870","7,455","6,190","3,675","34,895","175,678","84,285",365,365
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,,,,,,"70,995","56,920","30,875","40,115",*,"28,955","17,130","5,860","4,970",90,38,4.2,1,58,"2,525",315,165,125,35,150,225,295,335,"2,135","3,235","4,110","3,620","3,335","3,095","4,200","4,800","5,040","5,115","5,890","7,475","6,565","5,005","3,005","19,740","156,046","70,995",465,540
K8I4X,GLENDON WOOD HOSPITAL,,,,,,"5,445","5,445","2,185","3,260",0,0,"5,445",0,0,145,65,1,1,61,0,0,0,0,0,0,0,10,10,75,165,230,305,310,380,390,480,510,530,580,720,500,185,60,"5,440",5,"5,445",0,0
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,,,,,,"1,870","1,830",815,"1,055",0,"1,830",0,0,0,,,34,29,83,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,10,20,60,75,125,265,385,450,455,0,"62,005","1,870",0,0
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,"205,810","178,650","91,590","114,205",15,"72,680","60,990","24,235","20,745",79,36,3.4,1,54,"9,670","4,425","3,095","2,755",730,680,770,875,"1,025","6,410","9,725","12,145","10,390","7,940","8,130","10,445","13,460","15,620","16,230","17,060","20,590","16,035","10,525","5,955","72,015","360,274","205,810","5,240","9,245"
NT417,GORING HALL HOSPITAL,,,,,,"2,465","2,465","1,035","1,430",0,0,"2,465",0,0,158,91,2.3,3,66,0,0,0,0,0,0,0,*,*,30,45,65,85,65,95,125,180,245,285,325,435,280,155,40,"1,720","1,680","2,465",50,0
NWV01,GP CARE UK,,,,,,130,130,130,0,0,0,130,0,0,,,,,49,0,0,0,0,0,0,0,*,*,10,10,10,15,10,10,10,10,10,15,*,*,*,*,*,130,0,130,0,0
NDAH9,GRAVESHAM COMMUNITY HOSPITAL,,,,,,125,125,60,65,0,0,0,125,0,,,38.9,35,75,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,10,*,10,15,15,20,20,20,0,"4,786",125,0,0
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,,,,,,"53,980","48,695","29,130","24,845",0,"2,015","18,560","27,835",285,59,30,6.4,1,8,"5,895","11,565","11,660","12,175","2,360","2,030","1,705",320,75,100,105,95,85,85,65,30,35,20,15,*,*,*,0,0,"34,550","89,287","53,980","2,270",75
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,,,,,,"129,460","109,880","56,645","72,755",60,"45,275","27,875","22,515","14,215",76,37,3.7,1,54,"5,795","2,090","2,015","1,845",445,445,460,605,625,"3,685","5,995","7,770","6,770","5,210","5,320","6,605","8,485","9,605","10,515","10,420","12,620","9,865","7,215","4,695","45,300","236,836","129,460",625,"5,300"
RJ1-X,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,,,,,,"224,815","199,230","103,960","111,500","9,355","32,460","114,395","35,995","16,375",138,75,5.8,2,46,"11,715","6,960","8,340","7,960","1,730","1,805","1,600","1,010","1,055","6,620","11,105","13,930","13,955","12,370","12,060","13,715","16,720","18,435","16,935","14,625","13,645","8,800","4,900","2,200","108,575","532,346","224,815","5,660","2,650"
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,,,,,,"11,900","10,395","5,570","6,330",*,"3,265","2,460","1,260","3,415",23,15,36.3,16,66,0,0,0,*,10,20,20,60,80,455,435,455,550,470,450,510,600,660,675,890,"1,325","1,395","1,470","1,345","3,210","258,340","11,900",35,35
NT418,HAMPSHIRE CLINIC,,,,,,"1,155","1,155",435,715,0,0,"1,155",0,0,118,46,1.2,1,56,0,0,0,0,0,0,0,*,10,45,55,55,70,75,85,95,95,120,110,125,135,50,25,*,830,375,"1,155",20,0
RN5-X,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,"165,870","132,110","73,125","92,735",10,"64,280","45,110","12,295","10,425",86,43,4,1,57,"6,420","2,660","2,005","1,830",430,470,670,830,770,"4,675","6,670","8,730","8,200","6,955","6,800","8,555","10,435","12,145","12,060","12,520","17,230","14,460","11,945","7,880","51,955","326,729","165,870",810,"1,800"
NT419,HARBOUR HOSPITAL,,,,,,300,300,130,170,0,0,300,0,0,108,73,1.5,1,65,0,0,0,0,0,0,0,0,*,*,*,*,*,*,15,30,25,40,40,45,60,20,*,0,115,278,300,*,0
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,,,,,,"78,305","68,685","34,990","43,305",*,"19,660","24,730","20,445","3,850",70,28,4.4,1,62,"2,660","1,390",905,780,170,180,200,130,175,"1,115","1,660","2,485","2,435","2,475","2,745","4,060","4,900","6,295","6,425","7,095","9,910","8,275","6,985","4,655","42,500","118,517","78,305",290,565
NT416,HENDON HOSPITAL,,,,,,"1,030","1,030",460,570,0,0,"1,030",0,0,86,62,4.6,1,58,0,0,0,0,0,0,0,*,*,15,45,45,70,60,80,65,100,105,130,115,110,55,25,*,"1,015",69,"1,030",*,0
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,,,,,,"6,045","5,600","2,880","3,160",10,"1,050",0,"2,165","2,385",,,24.2,9,55,0,0,120,460,105,75,125,100,55,350,295,370,235,135,150,125,180,205,225,315,525,685,645,550,0,"136,113","6,045",35,130
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,,,,,,880,880,385,495,0,0,0,880,0,,,28,26,78,0,0,0,0,0,0,0,*,0,0,*,*,*,*,15,15,35,35,60,70,130,175,190,140,0,"24,606",880,*,0
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,,,,,,"1,740","1,110",985,725,30,65,35,165,845,,,107.4,28,44,*,0,0,10,15,10,15,35,35,170,240,175,175,125,105,105,105,110,80,55,80,55,25,10,0,"123,383",*,*,10
NT420,HIGHFIELD HOSPITAL,,,,,,"3,350","3,350","1,575","1,775",0,0,"3,350",0,0,148,70,1.3,1,58,0,0,0,0,0,0,0,*,10,55,100,140,155,205,205,315,435,505,425,335,280,145,35,*,"2,390","1,215","3,350",70,0
Y7M2R,HIGHGATE HOSPITAL GENDER SERVICE,,,,,,55,55,50,*,*,0,55,0,0,31,27,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,52,55,0,0
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,,,,,,"91,020","77,055","33,235","57,750",35,"23,230","27,545","2,515","23,765",97,46,2.9,1,43,"7,830","1,155",900,690,180,200,290,375,425,"4,025","7,405","10,330","9,660","6,195","4,765","4,740","5,155","5,130","4,420","3,955","3,625","2,650","2,270","1,365","27,675","149,211","91,020",205,"9,420"
NT448,HUDDERSFIELD PRIVATE HOSPITAL,,,,,,"2,635","2,635","1,260","1,375",0,0,"2,635",0,0,169,98,0.9,1,56,0,0,0,0,0,0,0,*,*,65,110,110,160,200,180,260,290,335,260,265,235,105,35,*,"1,945",607,"2,635",140,0
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,,,,,,"213,765","177,705","99,765","113,985",15,"65,375","61,515","37,640","13,175",89,41,4.6,1,57,"7,640","3,350","2,320","2,080",520,615,675,775,920,"5,760","8,140","9,660","9,280","8,440","8,570","11,830","15,290","18,735","19,575","22,010","23,550","16,065","11,005","6,120","85,375","421,694","213,765","1,240","2,690"
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,,,,,,"1,925","1,520",910,"1,015",*,960,420,110,25,,,38.9,17,52,0,0,0,*,*,*,15,15,25,140,160,190,150,140,110,100,110,95,85,80,145,125,110,100,0,"49,710","1,925",*,*
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,,,,,,"287,725","244,700","120,675","167,035",15,"60,330","127,780","17,230","39,355",42,16,4,1,51,"12,890","5,180","4,635","4,375",855,785,710,965,"1,060","7,625","15,205","22,275","19,890","15,110","14,670","17,130","21,075","22,870","21,680","20,350","19,765","15,255","10,370","6,685","125,955","484,515","287,725","3,540","17,660"
NXP04,INDEPENDENT HEALTH GROUP - CHIPPENHAM,,,,,,*,*,*,0,0,0,*,0,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0,0
NCR01,ISIGHT (SOUTHPORT),,,,,,"2,320","2,320",960,"1,355",0,0,"2,320",0,0,,,,,76,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,20,65,105,215,405,585,590,255,65,"2,320",0,"2,320",0,0
R1F-X,ISLE OF WIGHT NHS TRUST,,,,,,"56,225","46,735","26,100","30,125",0,"16,575","14,075","13,520","2,565",93,37,5.2,2,63,"1,435",585,455,485,120,100,130,85,160,775,"1,365","1,600","1,720","1,435","1,580","2,540","3,610","4,370","5,350","5,910","8,175","7,040","4,325","2,730","26,220","106,599","56,225",135,765
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"82,890","71,500","38,775","44,105",10,"24,960","33,550","8,880","4,115",113,50,5.3,1,62,"2,535","1,020",810,665,190,205,260,245,220,"1,595","2,320","2,840","2,705","2,510","2,755","3,785","5,190","5,905","7,080","8,340","11,495","9,150","6,660","4,220","36,355","201,752","82,890","2,870",570
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,,,,,,"2,035","2,035",810,"1,225",0,0,0,0,"2,035",,,29.1,24,82,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,10,30,55,100,155,340,435,500,400,0,"59,256","2,035",0,*
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,,,,,,"134,180","100,725","59,440","74,725",10,"41,770","32,495","17,435","9,020",71,36,3.9,1,58,"4,160","1,535","1,215","1,040",285,290,290,525,595,"3,280","4,995","6,195","5,900","5,545","5,440","7,100","9,730","9,890","10,320","11,985","14,605","10,980","8,510","5,135","46,315","221,058","134,180",440,"2,630"
ADP02,KIMS HOSPITAL (NEWNHAM COURT),,,,,,"2,925","2,925","1,245","1,680",0,0,35,"2,890",*,71,63,1.4,1,59,0,0,0,0,0,0,0,10,10,75,80,100,170,170,175,230,335,380,385,310,310,145,35,*,"1,835","1,535","2,925",0,0
P3R5Y,KIMS OUTREACH - LYCA ORPINGTON,,,,,,300,300,100,195,*,0,0,300,0,,,,,57,0,0,0,0,0,0,0,0,0,*,*,15,10,25,25,40,50,50,30,20,20,10,*,*,300,0,300,0,0
L8D1O,KIMS OUTREACH - ORPINGTON ENDOSCOPY,,,,,,95,95,45,50,0,0,20,80,0,,,,,47,0,0,0,0,0,0,0,*,*,*,*,15,10,*,*,10,*,15,*,*,*,0,0,0,95,0,95,0,0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,,,,,,"250,740","191,600","115,075","135,655",10,"49,100","99,795","17,680","25,025",72,29,6.2,2,54,"10,875","3,315","3,895","3,770",940,910,980,970,930,"6,615","10,880","15,065","14,905","11,615","10,685","13,785","17,465","20,475","19,645","17,850","20,230","17,090","14,005","10,530","99,985","576,437","250,740","2,030","9,890"
NT421,KINGS OAK HOSPITAL,,,,,,920,920,385,540,0,0,920,0,0,87,62,1.5,2,50,0,0,0,0,0,0,0,*,*,45,60,75,70,100,95,95,95,75,65,55,45,25,10,*,750,250,920,10,0
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,,,,,,"103,195","87,905","41,835","61,345",10,"32,620","27,285","4,885","23,115",76,35,3.2,1,51,"8,375","2,215","1,865","1,455",285,270,275,330,325,"2,530","4,610","7,930","7,195","4,605","3,795","4,665","5,080","5,510","5,595","6,680","8,805","7,590","6,840","5,125","28,785","187,056","103,195",610,"11,820"
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,,,,,,"2,465","1,460","1,375","1,090",0,900,40,270,245,2,1,36.3,21,41,0,0,0,10,*,15,20,35,50,250,310,265,300,265,205,180,160,130,85,70,50,25,15,*,*,"82,174","2,465",10,25
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"148,585","142,455","63,705","84,805",70,"53,595","41,715","26,980","20,160",103,29,4,1,50,"7,290","3,775","3,355","2,530",640,565,645,760,905,"5,970","9,880","11,065","8,060","6,485","5,815","7,220","8,855","10,680","10,010","10,660","12,635","9,615","6,355","3,160","55,340","364,633","148,585","8,455","9,720"
NT449,LANCASTER PRIVATE HOSPITAL,,,,,,"1,190","1,190",550,640,0,0,"1,190",0,0,148,71,1.3,1,61,0,0,0,0,0,0,0,0,*,15,20,30,60,40,60,100,150,175,155,150,140,70,20,*,905,376,"1,190",20,0
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,,,,,,230,230,110,120,0,0,0,0,230,,,42,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,15,10,15,45,35,40,45,0,"9,620",230,0,*
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,,,,,,"230,800","189,040","109,775","120,995",30,"57,455","78,605","32,785","20,195",77,34,6.6,2,50,"12,110","6,485","7,425","7,145","1,875","1,650","1,165","1,075","1,160","6,550","8,880","11,635","11,065","10,455","10,155","12,770","15,040","16,980","17,270","17,210","20,000","14,435","10,720","6,310","87,105","674,866","230,800","3,775","3,210"
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,,,,,,"6,370","5,610","2,940","3,430",*,"1,470",200,85,"3,855",8,3,38.3,23,66,0,0,0,10,10,10,10,35,35,280,300,260,285,195,195,255,240,300,350,460,695,830,925,695,0,"209,734","6,370",10,15
