Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
A4Y8X,ACES NOTTINGHAM,,,,,,30,30,15,15,0,0,30,0,0,,,,,72,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,0,*,*,10,*,10,*,0,30,0,30,0,0
A9P5F,ACES WHITE CITY,,,,,,235,235,70,160,0,0,235,0,0,,,,,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,30,45,50,55,25,10,*,235,0,235,0,0
RCF,AIREDALE NHS FOUNDATION TRUST,,,,,,"94,110","73,120","40,470","53,630",10,"24,910","37,710","5,420","5,075",43,16,4.1,1,59,"3,515","1,760","1,250",820,145,175,215,335,280,"2,100","3,080","3,640","3,525","3,320","3,235","5,030","5,910","7,740","8,360","9,385","11,365","8,730","6,025","3,930","40,635","138,364","94,110",325,990
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,,,,,,"52,430","46,465","29,395","23,035",0,"14,145","17,410","14,720",190,77,36,3.6,1,7,"8,190","13,405","12,110","11,645","2,740","2,260","1,270",590,115,55,*,*,*,*,0,*,0,0,0,0,0,0,0,0,"27,390","70,096","52,430",740,10
NT401,ALEXANDRA HOSPITAL,,,,,,"2,280","2,280","1,055","1,225",0,0,"2,280",0,0,155,64,2.2,2,59,0,0,0,0,0,0,0,*,*,35,55,100,115,130,135,190,255,310,285,255,245,100,45,10,"1,635","1,425","2,280",30,0
H7X1I,ANGLIA COMMUNITY EYE SERVICE - CAMBRIDGE,,,,,,"1,945","1,945",825,"1,120",0,0,"1,945",0,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,*,10,20,70,120,185,395,540,375,175,50,"1,945",0,"1,945",0,0
O9Q4E,ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH,,,,,,"1,635","1,635",695,940,0,0,"1,635",0,0,,,,,76,0,0,0,0,0,0,0,0,0,*,0,0,0,*,10,30,45,95,165,295,435,305,205,50,"1,635",0,"1,635",0,0
NX507,ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE,,,,,,"3,100","3,100","1,335","1,770",0,0,"3,100",0,0,,,,,77,0,0,0,0,0,0,0,0,0,0,0,*,*,0,10,35,60,130,280,555,870,725,340,90,"3,100",0,"3,100",0,0
NX501,ANGLIA COMMUNITY EYE SERVICE LTD,,,,,,"5,295","5,295","2,255","3,040",0,0,"5,295",0,0,,,,,76,0,0,0,0,0,0,0,0,0,*,0,*,10,15,25,65,125,285,580,940,"1,475","1,055",555,160,"5,295",0,"5,295",0,0
NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,,,,,,"2,030","2,030",865,"1,165",0,0,"2,030",0,0,,,,,77,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,25,80,155,315,595,565,220,60,"2,030",0,"2,030",0,0
